Vial,Day,Numbfemales,Date,Initials,Notes
17,B,13,10/29,KEW,
18,B,7,10/29,KEW,
19,B,12,10/29,KEW,
20,B,2,10/29,KEW,
21,B,4,10/29,KEW,
22,B,9,10/29,KEW,
30,B,2,10/29,KEW,
31,B,11,10/29,KEW,
32,B,8,10/29,KEW,
34,B,13,10/29,KEW,
35,B,4,10/29,KEW,
36,B,2,10/29,KEW,
37,B,6,10/29,KEW,
39,B,9,10/29,KEW,
41,B,20,10/29,KEW,
44,B,4,10/29,KEW,
49,B,5,10/29,KEW,
48,B,10,10/29,KEW,
2,B,3,10/30,KEW,
5,B,11,10/30,KEW,
7,B,5,10/30,KEW,
8,B,5,10/30,KEW,
12,B,4,10/30,KEW,
15,B,3,10/30,KEW,
16,B,1,10/30,KEW,
17,B,6,10/30,KEW,
18,B,4,10/30,KEW,
19,B,3,10/30,KEW,
20,B,4,10/30,KEW,
22,B,3,10/30,KEW,
23,B,0,10/30,KEW,
29,B,2,10/30,KEW,
31,B,9,10/30,KEW,
32,B,10,10/30,KEW,
34,B,3,10/30,KEW,
25,B,15,10/30,KEW,
41,B,6,10/30,KEW,
24,D,13,10/30,AFB,
25,D,20,10/30,HNT,
1,D,7,10/31,AFB,
2,D,7,10/31,AFB,
5,D,5,10/31,AFB,
6,D,12,10/31,AFB,
7,D,7,10/31,AFB,
8,D,2,10/31,AFB,
9,D,7,10/31,AFB,
12,D,2,10/31,AFB,
13,D,11,10/31,AFB,
15,D,6,10/31,AFB,
16,D,14,10/31,AFB,
15,A,2,10/31,HNT,
45,B,2,10/31,UHA,
48,B,10,10/31,UHA,
44,B,3,10/31,UHA,
35,B,8,10/31,UHA,
32,B,5,10/31,UHA,
31,B,3,10/31,UHA,
20,B,5,10/31,UHA,
18,B,6,10/31,UHA,
17,B,3,10/31,UHA,
5,B,4,10/31,UHA,
15,B,3,10/31,UHA,
8,B,1,10/31,UHA,
20,C,10,10/31,NRR,
19,C,11,10/31,NRR,
18,C,8,10/31,NRR,
17,C,8,10/31,NRR,
16,C,6,10/31,NRR,
15,C,7,10/31,NRR,
13,C,3,10/31,NRR,
12,C,2,10/31,NRR,
9,C,8,10/31,NRR,
8,C,0,10/31,NRR,
7,C,11,10/31,NRR,
6,C,9,10/31,NRR,
5,C,6,10/31,NRR,
2,C,14,10/31,NRR,
1,C,11,10/31,NRR,
31,C,10,10/31,NRR,
32,C,5,10/31,NRR,
26,C,7,10/31,NRR,
29,C,0,10/31,NRR,
30,C,2,10/31,NRR,
25,C,3,10/31,NRR,
23,C,13,10/31,NRR,
24,C,8,10/31,NRR,
21,C,2,10/31,NRR,
22,C,4,10/31,NRR,
48,C,17,10/31,NRR,
49,C,11,10/31,NRR,
34,C,6,10/31,NRR,
35,C,10,10/31,NRR,
37,C,2,10/31,NRR,
48,C,8,10/31,NRR,
44,C,15,10/31,NRR,
35,C,6,10/31,NRR,
34,C,11,10/31,NRR,
32,C,6,10/31,NRR,
31,C,8,10/31,NRR,
30,C,3,10/31,NRR,
20,C,5,10/31,NRR,
23,C,2,10/31,NRR,
22,C,3,10/31,NRR,
26,C,0,10/31,NRR,
25,C,6,10/31,NRR,
24,C,5,10/31,NRR,
19,C,2,10/31,NRR,
18,C,8,10/31,NRR,
17,C,5,10/31,NRR,
16,C,1,10/31,NRR,
7,C,18,10/31,NRR,
39,C,3,10/31,NRR,
44,C,11,10/31,NRR,
36,C,2,10/31,NRR,
49,C,5,10/31,NRR,
1,C,2,10/31,NRR,
2,C,8,10/31,NRR,
5,C,2,10/31,NRR,
6,C,11,10/31,NRR,
9,C,1,10/31,NRR,
13,A,3,10/31,UHA,
31,A,3,10/31,UHA,
17,A,8,10/31,UHA,
41,A,5,10/31,UHA,
1,A,0,10/31,UHA,
2,A,1,10/31,UHA,
8,A,1,10/31,UHA,
7,A,1,10/31,UHA,
27,A,0,10/31,UHA,
21,A,2,10/31,UHA,
17,D,18,10/31,AFB,
18,D,18,10/31,AFB,
19,D,12,10/31,AFB,
20,D,10,10/31,AFB,
21,D,8,10/31,AFB,
22,D,7,10/31,AFB,
23,D,9,10/31,AFB,
24,D,5,10/31,AFB,
25,D,14,10/31,AFB,
26,D,7,10/31,AFB,
29,D,6,10/31,AFB,
30,D,22,10/31,AFB,
32,D,5,10/31,AFB,
35,D,8,10/31,AFB,
35,B,10,1-Nov,UHA,
41,B,0,1-Nov,UHA,
44,B,8,1-Nov,UHA,
48,B,5,1-Nov,UHA,
5,B,8,1-Nov,UHA,
17,B,3,1-Nov,UHA,
18,B,5,1-Nov,UHA,
19,B,4,1-Nov,UHA,
20,B,1,1-Nov,UHA,
22,B,6,1-Nov,UHA,
34,B,4,1-Nov,UHA,
26,B,1,1-Nov,UHA,
31,B,5,1-Nov,UHA,
32,B,1,1-Nov,UHA,
2,B,2,1-Nov,UHA,
20,B,3,1-Nov,UHA,
44,B,12,1-Nov,UHA,
18,B,1,1-Nov,UHA,
22,B,2,1-Nov,UHA,
31,B,3,1-Nov,UHA,
32,B,2,1-Nov,UHA,
35,B,3,1-Nov,UHA,
43,B,3,1-Nov,UHA,
48,B,1,1-Nov,UHA,
6,B,2,1-Nov,UHA,
31,B,1,1-Nov,UHA,
31,B,5,1-Nov,UHA,
22,B,3,1-Nov,UHA,
12,B,3,1-Nov,UHA,
17,B,3,1-Nov,UHA,
19,B,5,1-Nov,UHA,
7,B,2,1-Nov,UHA,
8,B,1,1-Nov,UHA,
44,B,5,1-Nov,UHA,
1,D,4,1-Nov,HNT,
7,D,5,1-Nov,HNT,
9,D,3,1-Nov,HNT,
16,D,7,1-Nov,HNT,
17,D,10,1-Nov,HNT,
18,D,18,1-Nov,HNT,
19,D,9,1-Nov,HNT,
20,D,17,1-Nov,HNT,
22,D,7,1-Nov,HNT,
2,D,8,1-Nov,AFB,
5,D,9,1-Nov,AFB,
6,D,4,1-Nov,AFB,
21,D,11,1-Nov,AFB,
1,C,3,1-Nov,NRR,
2,C,0,1-Nov,NRR,
5,C,7,1-Nov,NRR,
6,C,4,1-Nov,NRR,
7,C,4,1-Nov,NRR,
13,C,0,1-Nov,NRR,
17,C,8,1-Nov,NRR,
19,C,5,1-Nov,NRR,
20,C,9,1-Nov,NRR,
25,C,3,1-Nov,NRR,
49,C,6,1-Nov,NRR,
48,C,1,1-Nov,NRR,
44,C,2,1-Nov,NRR,
41,C,3,1-Nov,NRR,
35,C,11,1-Nov,NRR,
34,C,6,1-Nov,NRR,
39,C,1,1-Nov,NRR,
38,C,3,1-Nov,NRR,
32,C,1,1-Nov,NRR,
31,D,0,1-Nov,KEW,
23,D,21,1-Nov,KEW,
24,D,13,1-Nov,KEW,
25,D,12,1-Nov,KEW,
26,D,7,1-Nov,KEW,
30,D,7,1-Nov,KEW,
31,D,14,1-Nov,KEW,
32,D,0,1-Nov,KEW,
34,D,11,1-Nov,KEW,
35,D,5,1-Nov,KEW,
36,D,4,1-Nov,KEW,
37,D,1,1-Nov,KEW,
45,D,9,1-Nov,KEW,
48,D,6,1-Nov,KEW,
49,D,8,1-Nov,KEW,
48,D,6,2-Nov,NRR,
45,D,4,2-Nov,NRR,
26,D,0,2-Nov,NRR,
30,D,0,2-Nov,NRR,
31,D,12,2-Nov,NRR,
32,D,10,2-Nov,NRR,
34,D,12,2-Nov,NRR,
35,D,10,2-Nov,NRR,
37,D,5,2-Nov,NRR,
39,D,6,2-Nov,NRR,
44,D,11,2-Nov,NRR,
49,D,9,2-Nov,NRR,
36,D,6,2-Nov,NRR,
24,D,6,2-Nov,NRR,
23,D,7,2-Nov,NRR,
22,D,14,2-Nov,NRR,
21,D,7,2-Nov,NRR,
20,D,11,2-Nov,NRR,
19,D,7,2-Nov,NRR,
18,D,8,2-Nov,NRR,
17,D,6,2-Nov,NRR,
16,D,8,2-Nov,NRR,
1,D,7,2-Nov,NRR,
2,D,8,2-Nov,NRR,
5,D,3,2-Nov,NRR,
6,D,2,2-Nov,NRR,
7,D,7,2-Nov,NRR,
8,D,1,2-Nov,NRR,
9,D,1,2-Nov,NRR,
13,D,6,2-Nov,NRR,
15,D,1,2-Nov,NRR,
25,D,2,2-Nov,NRR,
1,C,7,2-Nov,NRR,
2,C,3,2-Nov,NRR,
6,C,0,2-Nov,NRR,
7,C,4,2-Nov,NRR,
9,C,1,2-Nov,NRR,
12,C,3,2-Nov,NRR,
16,C,5,2-Nov,NRR,
17,C,6,2-Nov,NRR,
18,C,12,2-Nov,NRR,
19,C,14,2-Nov,NRR,
22,C,3,2-Nov,NRR,
24,C,1,2-Nov,NRR,
31,C,6,2-Nov,NRR,
32,C,3,2-Nov,NRR,
34,C,3,2-Nov,NRR,
35,C,6,2-Nov,NRR,
48,C,2,2-Nov,NRR,
20,C,6,2-Nov,NRR,
5,C,9,3-Nov,NRR,
7,C,0,3-Nov,NRR,
13,C,2,3-Nov,NRR,
16,C,1,3-Nov,NRR,
17,C,7,3-Nov,NRR,
20,C,6,3-Nov,NRR,
22,C,4,3-Nov,NRR,
31,C,2,3-Nov,NRR,
35,C,4,3-Nov,NRR,
37,C,2,3-Nov,NRR,
44,C,15,3-Nov,NRR,
49,D,2,3-Nov,KEW,
48,D,14,3-Nov,KEW,
44,D,6,3-Nov,KEW,
38,D,1,3-Nov,KEW,
36,D,1,3-Nov,KEW,
35,D,3,3-Nov,KEW,
34,D,8,3-Nov,KEW,
32,D,2,3-Nov,KEW,
31,D,10,3-Nov,KEW,
29,D,1,3-Nov,KEW,
25,D,2,3-Nov,KEW,
22,D,4,3-Nov,KEW,
24,D,1,3-Nov,KEW,
23,D,7,3-Nov,KEW,
21,D,0,3-Nov,KEW,
19,D,6,3-Nov,KEW,
18,D,6,3-Nov,KEW,
20,D,4,3-Nov,KEW,
30,D,5,3-Nov,KEW,
17,D,6,3-Nov,KEW,
16,D,13,3-Nov,KEW,
13,D,7,3-Nov,KEW,
7,D,6,3-Nov,KEW,
6,D,0,3-Nov,KEW,
2,D,8,3-Nov,KEW,
1,D,4,3-Nov,KEW,
1,D,3,4-Nov,AFB,
2,D,6,4-Nov,AFB,
7,D,1,4-Nov,AFB,
13,D,6,4-Nov,AFB,
16,D,11,4-Nov,AFB,
17,D,5,4-Nov,AFB,
18,D,8,4-Nov,AFB,
19,D,2,4-Nov,AFB,
20,D,7,4-Nov,AFB,
22,D,9,4-Nov,AFB,
25,D,5,4-Nov,AFB,
30,D,12,4-Nov,AFB,
31,D,8,4-Nov,AFB,
23,D,3,4-Nov,AFB,
34,D,4,4-Nov,AFB,
35,D,3,4-Nov,AFB,
44,D,9,4-Nov,AFB,
45,D,4,4-Nov,AFB,
20,C,5,4-Nov,HNT,
22,C,3,4-Nov,HNT,
35,C,3,4-Nov,HNT,
44,C,2,4-Nov,HNT,
2,C,5,4-Nov,HNT,
1,C,5,4-Nov,HNT,
13,C,3,4-Nov,HNT,
5,C,3,4-Nov,HNT,
17,C,2,4-Nov,HNT,
31,C,0,4-Nov,HNT,
18,C,1,4-Nov,HNT,
19,C,10,4-Nov,HNT,
2,A,4,4-Nov,HNT,
6,A,1,4-Nov,HNT,
7,A,10,4-Nov,HNT,
12,A,2,4-Nov,HNT,
14,A,1,4-Nov,HNT,
16,A,1,4-Nov,HNT,
20,A,1,4-Nov,HNT,
22,A,1,4-Nov,HNT,
31,A,1,4-Nov,HNT,
32,A,1,4-Nov,HNT,
34,A,1,4-Nov,HNT,
39,A,1,4-Nov,HNT,
41,A,1,4-Nov,HNT,
43,A,1,4-Nov,HNT,
15,A,1,4-Nov,HNT,
8,A,25,4-Nov,HNT,
1,C,5,5-Nov,NRR,
2,C,4,5-Nov,NRR,
5,C,3,5-Nov,NRR,
7,C,1,5-Nov,NRR,
17,C,6,5-Nov,NRR,
20,C,1,5-Nov,NRR,
22,C,2,5-Nov,NRR,
31,C,3,5-Nov,NRR,
34,C,5,5-Nov,NRR,
35,C,9,5-Nov,NRR,
44,C,3,5-Nov,NRR,
10,C,2,5-Nov,NRR,
13,C,3,5-Nov,NRR,
15,C,1,5-Nov,NRR,
16,C,1,5-Nov,NRR,
18,C,1,5-Nov,NRR,
20,C,1,5-Nov,NRR,
22,C,1,5-Nov,NRR,
23,C,1,5-Nov,NRR,
24,C,1,5-Nov,NRR,
30,C,1,5-Nov,NRR,
32,C,1,5-Nov,NRR,
44,C,1,5-Nov,NRR,
3,B,1,5-Nov,UHA,
5,B,0,5-Nov,UHA,
7,B,1,5-Nov,UHA,
6,B,1,5-Nov,UHA,
9,B,1,5-Nov,UHA,
18,B,10,5-Nov,UHA,
21,B,2,5-Nov,UHA,
41,B,1,5-Nov,UHA,
32,B,1,5-Nov,UHA,
31,B,1,5-Nov,UHA,
30,B,2,5-Nov,UHA,
37,B,3,5-Nov,UHA,
39,B,1,5-Nov,UHA,
25,B,2,5-Nov,UHA,
22,B,3,5-Nov,UHA,
49,B,2,5-Nov,UHA,
48,B,2,5-Nov,UHA,
16,D,3,5-Nov,UHA,
1,D,2,6-Nov,AFB,
2,D,4,6-Nov,AFB,
25,D,5,6-Nov,AFB,
30,D,10,6-Nov,AFB,
31,D,7,6-Nov,AFB,
16,D,2,6-Nov,AFB,
44,D,20,6-Nov,AFB,
17,D,6,6-Nov,AFB,
45,D,1,6-Nov,AFB,
18,D,5,6-Nov,AFB,
20,D,9,6-Nov,AFB,
22,D,2,6-Nov,AFB,
23,D,2,6-Nov,AFB,
2,C,4,6-Nov,AFB,
5,C,0,6-Nov,AFB,
16,C,3,6-Nov,AFB,
17,C,0,6-Nov,AFB,
18,C,4,6-Nov,AFB,
19,C,2,6-Nov,AFB,
31,C,4,6-Nov,AFB,
35,C,6,6-Nov,AFB,
30,D,2,7-Nov,AFB,
13,D,3,7-Nov,AFB,
22,D,1,7-Nov,AFB,
24,D,0,7-Nov,AFB,
