Date,ViaNumber,Day,numbMales,ct,sd,y,se,Initials,Notes
9.Tem,5,A,1,0,0,0,0,UHA,
9.Tem,5,A,1,0,0,0,1,UHA,
9.Tem,5,A,1,1,1,0,0,UHA,
9.Tem,5,A,1,0,0,0,0,UHA,
9.Tem,5,A,1,0,0,0,0,UHA,
9.Tem,5,A,1,0,0,0,0,UHA,
9.Tem,5,A,1,0,0,1,1,UHA,
9.Tem,5,A,1,0,0,1,0,UHA,
9.Tem,5,A,1,0,0,0,0,UHA,
9.Tem,7,A,1,0,0,0,0,UHA,
9.Tem,7,A,1,1,1,1,1,UHA,
9.Tem,7,A,1,1,1,1,1,UHA,
9.Tem,7,A,1,1,1,1,1,UHA,
9.Tem,7,A,1,0,0,0,0,UHA,
9.Tem,7,A,1,1,1,0,0,UHA,
9.Tem,7,A,1,0,0,0,0,UHA,
9.Tem,7,A,1,0,0,1,0,UHA,
9.Tem,7,A,1,0,0,0,0,UHA,
9.Tem,7,A,1,1,1,0,0,UHA,
9.Tem,7,A,1,1,1,1,0,UHA,
9.Tem,7,A,1,0,0,0,0,UHA,
9.Tem,7,A,1,0,0,1,0,UHA,
9.Tem,7,A,1,0,0,1,1,UHA,
9.Tem,7,A,1,1,1,1,1,UHA,
9.Tem,7,A,1,0,0,1,0,UHA,
9.Tem,8,A,1,1,1,1,0,UHA,
9.Tem,8,A,1,0,0,1,1,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,1,1,1,1,UHA,
9.Tem,8,A,1,0,0,1,1,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,1,1,1,0,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,0,0,1,1,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,0,0,1,1,UHA,
9.Tem,8,A,1,0,0,1,1,UHA,
9.Tem,8,A,1,0,0,1,0,UHA,
9.Tem,8,A,1,0,0,1,0,UHA,
9.Tem,8,A,1,0,0,1,0,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
9.Tem,8,A,1,0,0,0,1,UHA,
9.Tem,8,A,1,0,0,1,1,UHA,
9.Tem,8,A,1,0,0,0,0,UHA,
