Date,Vial #,Day (letter of vial),# females,# males,Sum of phenotypes,Wildtype,Vellow/vermillion,Yellow only,Vermillion only,Phenotyped by:
20-Jul,67,E,2,0,0,0,0,0,0,SBL
20-Jul,75,E,4,3,3,1,0,2,0,SBL
20-Jul,79,E,1,0,0,0,0,0,0,SBL
21-Jul,17,F,0,1,1,1,0,0,0,SBL
21-Jul,29,F,6,3,3,1,0,1,1,SBL
21-Jul,32,F,1,2,2,0,1,0,1,SBL
21-Jul,44,F,5,7,7,4,3,0,0,SBL
21-Jul,15,G,0,2,2,0,0,2,0,KLM
21-Jul,16,G,0,1,1,0,1,0,0,KLM
21-Jul,20,G,0,1,1,0,0,1,0,KLM
21-Jul,29,G,2,1,1,0,0,0,1,KLM
21-Jul,30,G,4,3,3,0,1,1,1,KLM
21-Jul,39,G,2,3,3,1,2,0,0,KLM
21-Jul,46,G,1,1,1,0,0,1,0,KLM
21-Jul,53,G,3,1,1,1,0,0,0,KLM
21-Jul,56,G,7,5,5,1,2,1,1,KLM
21-Jul,57,G,2,2,2,1,0,0,1,KLM
21-Jul,58,G,1,0,0,0,0,0,0,KLM
21-Jul,61,G,4,0,0,0,0,0,0,KLM
21-Jul,62,G,5,4,4,3,1,0,0,KLM
21-Jul,64,G,2,1,1,0,0,0,1,KLM
21-Jul,66,G,2,2,2,1,1,0,0,KLM
21-Jul,67,G,0,2,2,0,1,1,0,KLM
21-Jul,71,G,3,0,0,0,0,0,0,KLM
21-Jul,73,G,9,5,5,3,0,2,0,KLM
21-Jul,75,G,5,3,3,0,1,2,0,KLM
21-Jul,1,I,8,6,6,2,2,2,0,KLM
21-Jul,6,I,12,0,0,0,0,0,0,KLM
21-Jul,13,I,0,1,1,0,1,0,0,KLM
21-Jul,17,I,20,0,0,0,0,0,0,KLM
21-Jul,22,I,8,0,0,0,0,0,0,KLM
21-Jul,26,I,6,5,5,1,1,2,1,KLM
21-Jul,27,I,9,1,1,0,0,1,0,KLM
21-Jul,28,I,6,9,9,3,1,3,2,KLM
21-Jul,29,I,5,2,2,1,0,1,0,KLM
21-Jul,30,I,3,6,6,4,0,1,1,KLM
21-Jul,33,I,11,3,3,1,0,1,1,KLM
21-Jul,39,I,2,0,0,0,0,0,0,KLM
21-Jul,50,F,3,0,0,0,0,0,0,SBL
21-Jul,55,F,7,5,5,1,2,1,1,SBL
21-Jul,56,F,6,8,8,2,0,4,2,SBL
21-Jul,57,F,5,1,1,1,0,0,0,SBL
21-Jul,59,F,8,5,5,4,0,1,0,SBL
21-Jul,64,F,12,3,3,0,1,2,0,SBL
21-Jul,67,F,3,0,0,0,0,0,0,SBL
21-Jul,68,F,1,0,0,0,0,0,0,SBL
21-Jul,73,F,2,0,0,0,0,0,0,SBL
21-Jul,75,F,10,5,5,0,2,2,1,SBL
21-Jul,77,F,2,0,0,0,0,0,0,SBL
21-Jul,78,F,1,1,1,0,0,1,0,SBL
21-Jul,79,F,3,0,0,0,0,0,0,SBL
21-Jul,80,F,2,0,0,0,0,0,0,SBL
21-Jul,1,H,0,2,2,1,1,0,0,SBL
21-Jul,17,H,5,0,0,0,0,0,0,SBL
21-Jul,20,H,0,1,1,1,0,0,0,SBL
21-Jul,22,H,9,3,3,2,0,0,1,SBL
21-Jul,24,H,1,5,5,1,3,0,1,SBL
21-Jul,26,H,6,2,2,0,1,0,1,SBL
21-Jul,27,H,2,5,5,1,0,3,1,SBL
21-Jul,28,H,3,3,3,0,3,0,0,SBL
21-Jul,39,H,3,0,0,0,0,0,0,SBL
21-Jul,46,H,3,0,0,0,0,0,0,SBL
21-Jul,47,H,1,0,0,0,0,0,0,SBL
21-Jul,49,H,1,1,1,1,0,0,0,SBL
21-Jul,53,H,1,0,0,0,0,0,0,SBL
21-Jul,56,H,8,0,0,0,0,0,0,SBL
21-Jul,62,H,4,1,1,0,1,0,0,SBL
21-Jul,64,H,2,0,0,0,0,0,0,SBL
21-Jul,68,H,1,0,0,0,0,0,0,SBL
21-Jul,73,H,4,0,0,0,0,0,0,SBL
21-Jul,44,I,4,0,0,0,0,0,0,KLM
21-Jul,50,I,3,2,2,1,0,0,1,KLM
21-Jul,53,I,1,0,0,0,0,0,0,KLM
21-Jul,68,I,1,0,0,0,0,0,0,KLM
21-Jul,12,J,0,1,1,0,0,0,1,KLM
21-Jul,15,J,1,0,0,0,0,0,0,KLM
21-Jul,20,J,1,0,0,0,0,0,0,KLM
21-Jul,27,J,1,3,3,1,0,1,1,KLM
21-Jul,30,J,2,0,0,0,0,0,0,KLM
21-Jul,40,J,1,0,0,0,0,0,0,KLM
21-Jul,31,B,0,1,1,0,0,0,1,KLM
21-Jul,37,B,1,2,2,0,0,1,1,KLM
21-Jul,44,B,0,4,4,0,2,2,0,KLM
21-Jul,29,C,1,1,1,0,0,1,0,KLM
21-Jul,30,C,1,0,0,0,0,0,0,KLM
21-Jul,38,C,12,4,4,1,1,0,2,KLM
21-Jul,63,C,1,0,0,0,0,0,0,KLM
21-Jul,72,C,0,2,2,0,2,0,0,KLM
21-Jul,73,C,2,0,0,0,0,0,0,KLM
21-Jul,26,E,2,1,1,0,0,1,0,KLM
21-Jul,34,E,1,2,2,0,0,1,1,KLM
21-Jul,42,E,6,5,5,2,0,2,1,KLM
21-Jul,49,E,1,2,2,2,0,0,0,KLM
21-Jul,53,E,2,0,0,0,0,0,0,KLM
21-Jul,72,E,5,0,0,0,0,0,0,KLM
21-Jul,77,E,1,0,0,0,0,0,0,KLM
21-Jul,78,E,3,1,1,0,0,1,0,KLM
21-Jul,70,E,10,5,5,1,0,2,2,KLM
21-Jul,80,E,0,2,2,0,1,0,1,KLM
21-Jul,75,H,4,0,0,0,0,0,0,SBL
21-Jul,56,A,0,3,3,1,2,0,0,SBL
21-Jul,58,A,6,4,4,1,1,1,1,SBL
21-Jul,60,A,2,4,4,2,1,0,1,SBL
21-Jul,61,A,1,6,6,1,2,1,2,SBL
21-Jul,62,A,3,2,2,0,2,0,0,SBL
21-Jul,6,D,2,0,0,0,0,0,0,SBL
21-Jul,22,D,1,2,2,1,0,1,0,SBL
21-Jul,24,D,5,2,2,0,0,1,1,SBL
21-Jul,53,D,11,3,3,0,3,0,0,SBL
21-Jul,61,D,1,1,1,1,0,0,0,SBL
21-Jul,62,D,0,6,6,1,3,0,2,SBL
21-Jul,78,D,8,6,6,3,0,1,2,SBL
22-Jul,24,A,0,1,1,0,1,0,0,SBL
24-Jul,34,A,1,0,0,0,0,0,0,SBL
24-Jul,49,A,0,1,1,0,1,0,0,SBL
24-Jul,27,B,1,0,0,0,0,0,0,SBL
24-Jul,29,B,0,2,2,0,1,1,0,SBL
24-Jul,31,B,0,2,2,0,1,1,0,SBL
24-Jul,33,B,0,1,1,0,0,1,0,SBL
24-Jul,9,C,1,0,0,0,0,0,0,SBL
24-Jul,12,D,1,0,0,0,0,0,0,SBL
24-Jul,15,F,0,1,1,0,0,0,1,SBL
24-Jul,55,F,0,3,3,0,2,0,1,SBL
24-Jul,56,F,1,1,1,1,0,0,0,SBL
24-Jul,57,F,5,6,6,0,2,1,3,SBL
24-Jul,59,F,0,1,1,0,1,0,0,SBL
24-Jul,64,F,2,1,1,1,0,0,0,SBL
24-Jul,65,F,5,0,0,0,0,0,0,SBL
24-Jul,67,F,5,8,8,2,4,2,0,SBL
24-Jul,70,F,1,0,0,0,0,0,0,SBL
24-Jul,73,F,16,13,13,3,5,3,2,SBL
24-Jul,55,A,1,4,4,1,2,1,0,KLM
24-Jul,56,A,0,5,5,0,3,0,2,KLM
24-Jul,58,A,0,4,4,0,1,1,2,KLM
24-Jul,59,A,1,0,0,0,0,0,0,KLM
24-Jul,60,A,1,4,4,1,1,0,2,KLM
24-Jul,61,A,0,7,7,0,2,1,4,KLM
24-Jul,62,A,0,3,3,1,0,2,0,KLM
24-Jul,44,B,0,1,1,0,1,0,0,KLM
24-Jul,48,B,1,0,0,0,0,0,0,KLM
24-Jul,49,B,1,0,0,0,0,0,0,KLM
24-Jul,50,B,1,0,0,0,0,0,0,KLM
24-Jul,60,B,1,1,1,0,0,0,1,KLM
24-Jul,68,B,0,1,1,0,1,0,0,KLM
24-Jul,71,B,1,2,2,0,1,0,1,KLM
24-Jul,73,B,1,3,3,2,0,0,1,KLM
24-Jul,78,B,1,1,1,0,1,0,0,KLM
24-Jul,38,C,1,1,1,0,1,0,0,KLM
24-Jul,53,C,0,1,1,0,0,0,1,KLM
24-Jul,73,C,1,4,4,0,1,2,1,KLM
24-Jul,79,C,1,0,0,0,0,0,0,KLM
24-Jul,23,D,0,1,1,0,0,1,0,KLM
